2026-05-12 15:21:17 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:33 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:35 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:37 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:39 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:41 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:43 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:45 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:47 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:48 ERROR Expression trigger error: 'VTuberStudioController' object has no attribute 'trigger_expression'
2026-05-12 15:21:49 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:51 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:53 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:55 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:57 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:21:59 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:22:01 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:22:03 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:22:05 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
2026-05-12 15:22:07 ERROR Failed to load config: AppConfig.__init__() missing 42 required positional arguments: 'lm_studio_base_url', 'model_name', 'personality_path', 'tts_output_dir', 'rvc_output_dir', 'history_file', 'tts_voice', 'tts_rate', 'tts_volume', 'tts_output_format', 'tts_default_speaker', 'tts_default_pitch_semitones', 'applio_path', 'applio_timeout', 'rvc_model_pth', 'rvc_model_index', 'rvc_embedder_model', 'rvc_embedder_custom', 'rvc_f0_method', 'audio_output_device', 'audio_play_output', 'temperature', 'restream_client_id', 'restream_client_secret', 'restream_redirect_uri', 'voice_input_sample_rate', 'voice_input_channels', 'voice_input_duration_seconds', 'voice_input_language', 'voice_input_device_name', 'voice_input_device', 'vtuber_studio_api_url', 'vtuber_studio_auth_token', 'vtuber_studio_enabled', 'vtuber_studio_expression_hotkey', 'vtuber_studio_clear_hotkey', 'max_tokens', 'max_history_messages', 'request_timeout', 'google_aistudio_api_key', 'google_aistudio_model', and 'google_aistudio_enabled'
